model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
vae,"(33.04346466064453, 30.067001342773438, 2.9764604568481445)",4.851280450820923,synthetic_unimodal_data_length_20_uniform,16.83,"(34.30440902709961, 31.248310089111328, 3.0560996532440186)","(27.460500717163086, 23.498249053955078, 3.962252140045166)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(32.39533615112305, 28.93132972717285, 3.4640049934387207)",5.009519815444946,synthetic_unimodal_data_length_20_uniform,17.062,"(33.6048469543457, 30.250537872314453, 3.35430908203125)","(26.10980796813965, 21.89696502685547, 4.212843894958496)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(35.2959098815918, 30.154205322265625, 5.141705513000488)",5.73586893081665,synthetic_unimodal_data_length_20_uniform,17.826,"(35.7232551574707, 30.70035171508789, 5.022902488708496)","(27.241147994995117, 21.148418426513672, 6.0927300453186035)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(36.13678741455078, 34.16032028198242, 1.9764652252197266)",5.039326190948486,synthetic_unimodal_data_length_20_uniform,16.731,"(35.072654724121094, 33.159122467041016, 1.9135311841964722)","(20.962448120117188, 18.60963249206543, 2.3528172969818115)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(34.18994140625, 31.0130615234375, 3.176880359649658)",5.932638168334961,synthetic_unimodal_data_length_20_uniform,16.805,"(34.576297760009766, 31.388940811157227, 3.1873562335968018)","(24.451953887939453, 20.300113677978516, 4.151839733123779)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(34.53269577026367, 29.946842193603516, 4.585851669311523)",6.013840913772583,synthetic_unimodal_data_length_20_uniform,17.555,"(35.42110824584961, 30.600271224975586, 4.820833683013916)","(25.67095375061035, 19.90410804748535, 5.766844749450684)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(42.973209381103516, 37.76704406738281, 5.206165313720703)",6.067905902862549,synthetic_unimodal_data_length_50_gaussian,41.581,"(50.563533782958984, 45.50509262084961, 5.058438777923584)","(32.023990631103516, 26.313940048217773, 5.710050106048584)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(44.682498931884766, 35.730682373046875, 8.95181655883789)",7.678441524505615,synthetic_unimodal_data_length_50_gaussian,44.201,"(51.5579833984375, 42.96706771850586, 8.59091854095459)","(34.27219772338867, 24.489925384521484, 9.782272338867188)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(52.70119094848633, 38.838600158691406, 13.862593650817871)",8.494106769561768,synthetic_unimodal_data_length_50_gaussian,45.231,"(55.260498046875, 41.8913459777832, 13.369150161743164)","(44.1328239440918, 28.871246337890625, 15.261575698852539)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(46.467864990234375, 39.61616134643555, 6.8517069816589355)",6.824711561203003,synthetic_unimodal_data_length_50_gaussian,42.331,"(53.81740951538086, 47.163848876953125, 6.653561592102051)","(27.679040908813477, 20.28212547302246, 7.396917819976807)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(44.639888763427734, 35.99564743041992, 8.644241333007812)",8.509551763534546,synthetic_unimodal_data_length_50_gaussian,43.642,"(50.16394805908203, 41.75023651123047, 8.413710594177246)","(34.83020782470703, 25.370267868041992, 9.459938049316406)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(50.684600830078125, 36.267032623291016, 14.417567253112793)",9.432560443878174,synthetic_unimodal_data_length_50_gaussian,45.547,"(54.14306640625, 40.31513595581055, 13.827929496765137)","(44.077850341796875, 28.155603408813477, 15.922248840332031)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(48.19810104370117, 43.372840881347656, 4.825260162353516)",7.394205808639526,synthetic_unimodal_data_length_50_gaussian,41.315,"(56.9140739440918, 52.20036697387695, 4.71370792388916)","(33.62545394897461, 28.31707763671875, 5.308374881744385)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(47.39823913574219, 39.71279525756836, 7.685446262359619)",9.007111310958862,synthetic_unimodal_data_length_50_gaussian,43.026,"(49.48843002319336, 42.05519104003906, 7.433238506317139)","(29.698644638061523, 21.229970932006836, 8.468674659729004)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(45.350826263427734, 35.091670989990234, 10.259154319763184)",11.989274263381958,synthetic_unimodal_data_length_50_gaussian,44.39,"(50.74880599975586, 40.82113265991211, 9.9276762008667)","(33.74580764770508, 22.522436141967773, 11.223368644714355)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(44.26420974731445, 37.59706115722656, 6.6671462059021)",8.161659002304077,synthetic_unimodal_data_length_50_gaussian,41.406,"(56.15777587890625, 49.691001892089844, 6.466778755187988)","(31.31048011779785, 23.924156188964844, 7.386325359344482)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(46.119224548339844, 39.766456604003906, 6.352768898010254)",10.25230073928833,synthetic_unimodal_data_length_50_gaussian,42.623,"(46.73292922973633, 40.63549041748047, 6.097440242767334)","(29.771961212158203, 22.81012535095215, 6.961833477020264)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(45.645442962646484, 36.30817413330078, 9.33726692199707)",12.882817029953003,synthetic_unimodal_data_length_50_gaussian,44.041,"(50.210079193115234, 41.28025436401367, 8.929821968078613)","(32.721588134765625, 22.504301071166992, 10.217288970947266)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(47.70075607299805, 42.519290924072266, 5.181464195251465)",5.5439534187316895,synthetic_unimodal_data_length_50_skewed_gaussian,41.024,"(48.12162399291992, 42.96520233154297, 5.1564226150512695)","(28.367551803588867, 22.482196807861328, 5.885354042053223)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(46.894371032714844, 40.83257293701172, 6.061798572540283)",7.886004209518433,synthetic_unimodal_data_length_50_skewed_gaussian,42.851,"(46.90346908569336, 40.75757598876953, 6.145890712738037)","(26.815271377563477, 19.80728530883789, 7.007985591888428)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(54.848323822021484, 42.23967742919922, 12.608643531799316)",8.276656150817871,synthetic_unimodal_data_length_50_skewed_gaussian,45.204,"(54.54261016845703, 42.115074157714844, 12.427535057067871)","(39.04358673095703, 24.520708084106445, 14.522879600524902)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(48.024864196777344, 41.10019302368164, 6.924671173095703)",6.355992317199707,synthetic_unimodal_data_length_50_skewed_gaussian,43.298,"(47.82529830932617, 40.98202133178711, 6.843276500701904)","(32.89112091064453, 25.12898063659668, 7.762139797210693)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(47.91558837890625, 39.7075309753418, 8.20805835723877)",7.832070350646973,synthetic_unimodal_data_length_50_skewed_gaussian,43.453,"(47.934383392333984, 39.65449523925781, 8.279887199401855)","(29.51658058166504, 20.080730438232422, 9.435851097106934)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(51.65156173706055, 39.381526947021484, 12.270037651062012)",9.084738731384277,synthetic_unimodal_data_length_50_skewed_gaussian,44.718,"(53.22418212890625, 41.019466400146484, 12.204719543457031)","(40.9446907043457, 26.961591720581055, 13.983099937438965)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
